,b_loc,b_size,b_price,b_pr_m2,b_sale_rslt,b_sale_date
69,Torestorp Gategården,"None, 110 m²",1 450 000 kr,13 200 kr/m²,-05,2022-05-12
70,Sjogerstad Vidablick,"4 rum, 109 m²",2 920 000 kr,26 800 kr/m²,-5.7,2022-05-09
71,Knopstigen 2,"None, 100 m²",3 700 000 kr,37 000 kr/m²,-05,2022-05-06
72,Hyggesvägen 9,"None, 117 m²",3 500 000 kr,29 900 kr/m²,6.2,2022-05-05
73,Varola Axtorp 6,"None, 158 m²",1 400 000 kr,8 900 kr/m²,-05,2022-05-05
74,Forsby Lillegården 9,"None, 188 m²",4 150 000 kr,22 100 kr/m²,-05,2022-05-04
75,Mjölnarevägen 3,"7 rum, 205 m²",3 095 000 kr,15 100 kr/m²,0,2022-05-03
76,Orkidévägen 1B,"None, 160 m²",5 100 000 kr,31 900 kr/m²,13.5,2022-05-02
77,Claesborgsvägen 8,"None, 110 m²",3 700 000 kr,33 600 kr/m²,-5,2022-05-02
78,Tjädervägen 12,"None, 174 m²",5 645 000 kr,32 400 kr/m²,-05,2022-05-02
79,Lunnadalsvägen 5,"None, 127 m²",4 500 000 kr,35 400 kr/m²,-05,2022-05-02
80,Stubbvägen 2,"None, 115 m²",3 300 000 kr,28 700 kr/m²,-8.2,2022-04-30
81,Seglarstigen 3,"None, 36 m²",750 000 kr,20 800 kr/m²,7.9,2022-04-29
82,Guldvägen 2,"4 rum, 99 m²",4 000 000 kr,40 400 kr/m²,-04,2022-04-26
83,Folkungagatan 28,"4 rum, 118 m²",3 400 000 kr,28 800 kr/m²,-2.9,2022-04-25
84,Alvägen 3,"None, 120 m²",2 900 000 kr,24 200 kr/m²,16.7,2022-04-25
85,Norrgatan 1,"6 rum, 157 m²",3 695 000 kr,23 500 kr/m²,0,2022-04-24
86,Kaplansgatan 6,"6 rum, 180 m²",4 300 000 kr,23 900 kr/m²,-3.9,2022-04-20
87,Sveagatan 17,"5 rum, 131 m²",5 425 000 kr,41 400 kr/m²,10.8,2022-04-14
88,Åkleby Annehill 1,"4 rum, 92 m²",2 550 000 kr,27 700 kr/m²,16.7,2022-04-14
89,Galoppvägen 10,"None, 143 m²",3 550 000 kr,24 800 kr/m²,1.6,2022-04-14
90,Tallstigen 7,"None, 95 m²",1 260 000 kr,13 300 kr/m²,-23.6,2022-04-13
91,Granängsvägen 23,"None, 126 m²",2 900 000 kr,23 000 kr/m²,-04,2022-04-13
92,Karl Magnussons väg 26,"None, 205 m²",7 100 000 kr,34 600 kr/m²,5.3,2022-04-08
93,Stjärnvägen 13,"5 rum, 147 m²",3 800 000 kr,25 900 kr/m²,-13.3,2022-04-07
94,Högklintsvägen 5,"None, 174 m²",5 990 000 kr,34 400 kr/m²,0.7,2022-04-06
95,Solhagavägen 2,"None, 97 m²",3 275 000 kr,33 800 kr/m²,-04,2022-04-06
96,Gamla Törebodavägen Espelund,"None, 130 m²",5 150 000 kr,39 600 kr/m²,-04,2022-04-05
97,Djursätra Solsäter,"None, 145 m²",1 495 000 kr,10 300 kr/m²,7.2,2022-04-04
98,Varola Missionskyrkan,"None, 200 m²",1 500 000 kr,7 500 kr/m²,-04,2022-04-04
99,Gröna vägen 21,"5 rum, 124 m²",4 750 000 kr,38 300 kr/m²,10.5,2022-04-01
100,Gärdesvägen 5,"6 rum, 112 m²",2 950 000 kr,26 300 kr/m²,18.2,2022-04-01
101,Rödegårdsvägen 20,"None, 186 m²",4 350 000 kr,23 400 kr/m²,10.8,2022-04-01
102,Högklintsvägen 9,"None, 240 m²",7 650 000 kr,31 900 kr/m²,-1.7,2022-04-01
103,Flugsnapparvägen 5,"None, 161 m²",3 000 000 kr,18 600 kr/m²,-04,2022-04-01
104,Torpemad Jennetorp,"None, 85 m²",250 000 kr,2 900 kr/m²,-04,2022-04-01
105,Tåstorp Västergården,"None, 150 m²",2 200 000 kr,14 700 kr/m²,-04,2022-04-01
106,Binneberg Missionshuset,"None, 144 m²",2 000 000 kr,13 900 kr/m²,-04,2022-04-01
107,Duvstigen 3,"5 rum, 128 m²",4 050 000 kr,31 600 kr/m²,8,2022-03-31
108,Kamomillvägen 12,"5 rum, 152 m²",4 450 000 kr,29 300 kr/m²,-03,2022-03-31
109,Robin Granes väg 10,"None, 117 m²",4 300 000 kr,36 800 kr/m²,13.3,2022-03-30
110,Forsby Nylund,"5 rum, 116 m²",3 625 000 kr,31 300 kr/m²,-03,2022-03-29
111,Kärleksstigen 17,"None, 168 m²",2 350 000 kr,14 000 kr/m²,-10.5,2022-03-29
112,Smedjevägen 10,"5 rum, 118 m²",4 100 000 kr,34 700 kr/m²,-03,2022-03-28
113,Säter Prästängen 1,"2 rum, 43 m²",1 820 000 kr,42 300 kr/m²,30.5,2022-03-28
114,Ringstigen 2,"5 rum, 84 m²",3 550 000 kr,42 300 kr/m²,9.2,2022-03-24
115,Kärleksstigen 9,"None, 162 m²",3 360 000 kr,20 700 kr/m²,16.1,2022-03-23
116,Nässelvägen 3,"None, 192 m²",4 700 000 kr,24 500 kr/m²,-03,2022-03-23
117,Kryddvägen 1,"6 rum, 166 m²",6 100 000 kr,36 700 kr/m²,10.9,2022-03-19
118,Vadsbovägen 10,"None, 107 m²",1 850 000 kr,17 300 kr/m²,9.5,2022-03-18
119,Sverkilsvägen 16,"None, 166 m²",4 995 000 kr,30 100 kr/m²,-03,2022-03-18
120,Melldala Sjöråsen 1,"None, 185 m²",4 650 000 kr,25 100 kr/m²,3.3,2022-03-17
121,Höskullevägen 8,"None, 140 m²",4 540 000 kr,32 400 kr/m²,1,2022-03-16
122,Prästgatan 14,"None, 64 m²",5 200 000 kr,81 300 kr/m²,-03,2022-03-16
123,Knopstigen 2,"3 rum, 75 m²",3 700 000 kr,49 300 kr/m²,12.1,2022-03-15
124,Stora vägen 24,"6 rum, 186 m²",2 675 000 kr,14 400 kr/m²,-0.7,2022-03-12
125,Belleforsvägen 5,"7 rum, 140 m²",2 350 000 kr,16 800 kr/m²,7.1,2022-03-11
126,Egnahemsvägen 19,"None, 135 m²",4 620 000 kr,34 200 kr/m²,-03,2022-03-10
127,Hentorpsvägen 52,"None, 117 m²",3 560 000 kr,30 400 kr/m²,27.1,2022-03-08
128,Mjölnarevägen 4,"None, 117 m²",3 250 000 kr,27 800 kr/m²,8.5,2022-03-08
129,Stationsvägen 18D,"6 rum, 161 m²",2 495 000 kr,15 500 kr/m²,0,2022-03-07
130,Gamla Kungsvägen 81,"None, 141 m²",4 395 000 kr,31 200 kr/m²,0,2022-03-07
131,Skövdevägen 16,"None, 88 m²",2 350 000 kr,26 700 kr/m²,-03,2022-03-04
132,Örtvägen 3,"None, 145 m²",5 650 000 kr,39 000 kr/m²,13.1,2022-03-01
133,Våmbsvägen 18,"None, 139 m²",3 850 000 kr,27 700 kr/m²,-03,2022-03-01
134,Stallvägen 8,"None, 159 m²",3 650 000 kr,23 000 kr/m²,-03,2022-03-01
135,Hentorpsvägen 61,"None, 115 m²",4 475 000 kr,38 900 kr/m²,4.1,2022-02-28
136,Lingonstigen 33,"None, 107 m²",4 900 000 kr,45 800 kr/m²,-2,2022-02-28
137,Babordsstigen 14,"None, 55 m²",1 600 000 kr,29 100 kr/m²,-02,2022-02-28
138,Lavendelvägen 5,"None, 179 m²",6 550 000 kr,36 600 kr/m²,10.1,2022-02-25
139,Slagugglevägen 9,"None, 130 m²",4 300 000 kr,33 100 kr/m²,-02,2022-02-25
140,Siriusvägen 15,"None, 97 m²",3 600 000 kr,37 100 kr/m²,5.9,2022-02-24
